H + 0         1         1    109690.4769(1s)
    1 511                 (2)0( 0.5)         0.0000    {X}
    2 513                 (2)1( 0.5)     82303.9886    {X}
    3 512                 (2)0( 0.5)     82303.9887    {X}
    4 513                 (2)1( 1.5)     82304.3538    {X}
    5 514                 (2)0( 0.5)     97545.5755    {X}
    6 515                 (2)1( 0.5)     97545.5760    {X}
    7 516                 (2)2( 1.5)     97545.6835    {X}
    8 515                 (2)1( 1.5)     97545.6843    {X}
    9 516                 (2)2( 2.5)     97545.7196    {X}
   10 518                 (2)1( 0.5)    102880.1161    {X}
   11 517                 (2)0( 0.5)    102880.1161    {X}
   12 519                 (2)2( 1.5)    102880.1617    {X}
   13 518                 (2)1( 1.5)    102880.1617    {X}
   14 519                 (2)2( 2.5)    102880.1769    {X}
   15 51A                 (2)3( 2.5)    102880.1769    {X}
   16 51A                 (2)3( 3.5)    102880.1845    {X}
   17 51C                 (2)1( 0.5)    105349.2400    {X}
   18 51B                 (2)0( 0.5)    105349.2400    {X}
   19 51D                 (2)2( 1.5)    105349.2633    {X}
   20 51C                 (2)1( 1.5)    105349.2634    {X}
   21 51D                 (2)2( 2.5)    105349.2711    {X}
   22 51E                 (2)3( 2.5)    105349.2715    {X}
   23 51F                 (2)4( 3.5)    105349.2750    {X}
   24 51E                 (2)3( 3.5)    105349.2754    {X}
   25 51F                 (2)4( 4.5)    105349.2774    {X}
   9   6 1.00-30 2.50-06 6.70-03 7.63-01 3.69+00 8.08+00 1.28+01 1.46+01 1.50+01 1.40+01 1.28+01 1.19+01 1.12+01 1.09+01 1.09+01 1.12+01
   9   7 5.06-16 2.91-06 7.87-03 9.23-01 4.68+00 1.12+01 2.22+01 3.13+01 3.67+01 3.49+01 3.08+01 2.74+01 2.49+01 2.40+01 2.36+01 2.33+01
   9   8 3.63-09 8.47-04 2.27+00 2.60+02 1.27+03 2.84+03 4.73+03 5.82+03 6.67+03 7.52+03 8.00+03 8.39+03 8.81+03 9.08+03 9.34+03-3.24+02
  10   1 6.82+07 3.63-08 9.73-05 1.11-02 5.39-02 1.19-01 1.91-01 2.20-01 2.22-01 1.89-01 1.59-01 1.46-01 1.59-01 1.87-01 2.23-01-8.24-02
  10   2 1.00-30 5.78-08 1.60-04 2.00-02 1.11-01 3.07-01 7.82-01 1.32+00 1.78+00 1.95+00 1.88+00 1.82+00 1.79+00 1.80+00 1.81+00 1.85+00
  10   3 9.67+06 1.17-07 3.15-04 3.70-02 1.88-01 4.49-01 8.90-01 1.28+00 1.60+00 1.86+00 2.10+00 2.52+00 3.41+00 4.29+00 5.23+00-1.46+00
  10   4 1.03+01 8.49-08 2.38-04 3.09-02 1.80-01 5.29-01 1.46+00 2.54+00 3.34+00 3.10+00 2.31+00 1.57+00 9.50-01 7.10-01 5.80-01 4.32-01
  10   5 3.07+06 9.47-07 2.55-03 2.93-01 1.44+00 3.26+00 5.68+00 7.65+00 1.14+01 2.18+01 3.32+01 4.76+01 7.10+01 9.03+01 1.10+02-2.66+01
  10   6 1.00-30 9.13-07 2.48-03 2.92-01 1.49+00 3.63+00 7.45+00 1.15+01 1.67+01 2.46+01 3.03+01 3.49+01 3.91+01 4.11+01 4.23+01 4.43+01
  10   7 3.48+05 7.24-07 1.94-03 2.22-01 1.08+00 2.41+00 3.98+00 4.87+00 5.61+00 6.56+00 7.45+00 8.80+00 1.14+01 1.36+01 1.58+01-3.02+00
  10   8 2.55+00 1.58-06 4.23-03 4.78-01 2.28+00 4.87+00 7.13+00 7.39+00 7.21+00 7.50+00 7.92+00 7.90+00 7.46+00 7.50+00 7.92+00 9.88+00
  10   9 4.70-07 1.00-06 2.69-03 3.05-01 1.46+00 3.15+00 4.75+00 5.07+00 4.76+00 3.72+00 2.85+00 2.16+00 1.59+00 1.41+00 1.35+00 1.44+00
  11   1 1.00-30 3.24-08 8.69-05 9.92-03 4.82-02 1.06-01 1.71-01 1.98-01 1.99-01 1.65-01 1.29-01 1.00-01 7.74-02 6.96-02 6.63-02 6.55-02
  11   2 8.60+05 6.12-08 1.68-04 2.04-02 1.09-01 2.86-01 6.67-01 1.06+00 1.31+00 1.19+00 9.04-01 6.66-01 5.16-01 5.01-01 5.35-01-1.30-01
  11   3 1.00-30 1.54-07 4.16-04 4.83-02 2.42-01 5.67-01 1.06+00 1.45+00 1.72+00 1.82+00 1.83+00 1.85+00 1.92+00 1.97+00 2.00+00 2.07+00
  11   4 1.72+06 1.22-07 3.36-04 4.09-02 2.19-01 5.74-01 1.34+00 2.13+00 2.65+00 2.40+00 1.83+00 1.34+00 1.04+00 1.00+00 1.07+00-2.60-01
  11   5 1.00-30 7.02-07 1.91-03 2.29-01 1.20+00 3.04+00 6.76+00 1.10+01 1.67+01 2.53+01 3.13+01 3.61+01 4.04+01 4.24+01 4.37+01 4.58+01
  11   6 6.12+05 6.75-07 1.81-03 2.05-01 9.90-01 2.15+00 3.34+00 3.79+00 4.28+00 5.77+00 7.60+00 1.02+01 1.49+01 1.89+01 2.28+01-5.31+00
  11   7 4.12-01 5.90-07 1.58-03 1.80-01 8.73-01 1.92+00 3.07+00 3.52+00 3.55+00 3.09+00 2.66+00 2.29+00 1.98+00 1.92+00 1.95+00 2.18+00
  11   8 1.22+06 1.20-06 3.21-03 3.65-01 1.76+00 3.86+00 6.06+00 7.03+00 8.17+00 1.13+01 1.51+01 2.04+01 2.99+01 3.78+01 4.56+01-1.06+01
  11   9 6.17-01 8.86-07 2.37-03 2.71-01 1.31+00 2.88+00 4.59+00 5.26+00 5.30+00 4.62+00 3.98+00 3.44+00 2.98+00 2.89+00 2.93+00 3.27+00
  12   1 3.27+02 1.72-08 4.62-05 5.26-03 2.55-02 5.59-02 8.85-02 9.98-02 9.69-02 7.50-02 5.49-02 3.94-02 2.83-02 2.52-02 2.43-02 2.57-02
