 H+ 0         1         1       109679.(1S)
    1 1S1               (2)0( 0.5)             0.0   {1}1.000
    2 2S1               (2)0( 0.5)         82258.9   {1}1.000
    3 2P1               (2)1( 2.5)         82259.0   {1}1.000
    4 3S1               (2)0( 0.5)         97492.2   {1}1.000
    5 3P1               (2)1( 2.5)         97492.2   {1}1.000
    6 3D1               (2)2( 4.5)         97492.3   {1}1.000
    7 4S1               (2)0( 0.5)        102823.9   {1}1.000
    8 4P1               (2)1( 2.5)        102823.9   {1}1.000
    9 4D1               (2)2( 4.5)        102823.9   {1}1.000
   10 4F1               (2)3( 6.5)        102823.9   {1}1.000
   11 5S1               (2)0( 0.5)        105291.6   {1}1.000
   12 5P1               (2)1( 2.5)        105291.6   {1}1.000
   13 5D1               (2)2( 4.5)        105291.6   {1}1.000
   14 5F1               (2)3( 6.5)        105291.6   {1}1.000
   15 5G1               (2)4( 8.5)        105291.6   {1}1.000
   -1
   9   4 1.00-30 6.41+00 6.41+00 6.41+00 1.01+01 2.29+01 3.24+01 4.72+01 5.56+01 6.12+01 6.51+01 7.19+01 7.68+01 8.01+01
  10   4 1.00-30 6.84+00 6.84+00 6.84+00 1.06+01 1.96+01 2.48+01 3.17+01 3.53+01 3.75+01 3.90+01 4.16+01 4.35+01 4.48+01
  11   4 1.00-30 1.04+00 1.04+00 1.04+00 1.59+00 2.91+00 3.58+00 4.53+00 5.10+00 5.50+00 5.80+00 6.34+00 6.72+00 6.99+00
  12   4 1.64+06 2.31+00 2.46+00 2.61+00 3.46+00 5.57+00 7.36+00 1.12+01 1.42+01 1.67+01 1.87+01 2.42+01 3.21+01 4.57+01
  13   4 1.00-30 3.38+00 3.38+00 3.38+00 4.26+00 6.14+00 7.14+00 8.66+00 9.61+00 1.03+01 1.08+01 1.17+01 1.23+01 1.28+01
  14   4 1.00-30 2.94+00 2.94+00 2.94+00 3.41+00 4.12+00 4.45+00 4.73+00 4.79+00 4.78+00 4.76+00 4.72+00 4.69+00 4.68+00
  15   4 1.00-30 3.77+00 3.77+00 3.77+00 4.82+00 6.71+00 7.83+00 9.16+00 9.67+00 9.89+00 9.99+00 1.02+01 1.03+01 1.04+01
   7   5 1.84+06 3.45+00 3.77+00 4.07+00 4.88+00 7.63+00 9.79+00 1.41+01 1.75+01 2.03+01 2.27+01 2.93+01 3.86+01 5.45+01
   8   5 1.00-30 1.41+01 1.41+01 1.41+01 2.07+01 4.49+01 6.19+01 8.70+01 1.01+02 1.10+02 1.16+02 1.26+02 1.34+02 1.39+02
   9   5 7.04+06 1.80+01 1.97+01 2.13+01 3.13+01 8.24+01 1.34+02 2.38+02 3.17+02 3.79+02 4.30+02 5.65+02 7.50+02 1.06+03
  10   5 1.00-30 2.54+01 2.54+01 2.54+01 4.09+01 8.79+01 1.19+02 1.67+02 1.94+02 2.12+02 2.24+02 2.45+02 2.60+02 2.70+02
