H + 0         1         1   109679.0
    1 1S                (2)0( 0.5)        0.0
    2 2S                (2)0( 0.5)    82259.0
    3 2P                (2)1( 2.5)    82259.0
    4 3S                (2)0( 0.5)    97492.0
    5 3P                (2)1( 2.5)    97492.0
    6 3D                (2)2( 4.5)    97492.0
    7 4S                (2)0( 0.5)   102824.0
    8 4P                (2)1( 2.5)   102824.0
    9 4D                (2)2( 4.5)   102824.0
   10 4F                (2)3( 6.5)   102824.0
   11 5S                (2)0( 0.5)   105292.0
   12 5P                (2)1( 2.5)   105292.0
   13 5D                (2)2( 4.5)   105292.0
   14 5F                (2)3( 6.5)   105292.0
   15 5G                (2)4( 8.5)   105292.0
   -1
  12   9 1.88+05 5.67+01 5.67+01 5.94+01 7.41+01 8.85+01 1.07+02 1.19+02 1.35+02 1.51+02 1.58+02 1.63+02 2.26+02 2.75+02 3.11+02
  13   9 1.00-30 1.20+02 1.20+02 1.28+02 1.75+02 2.30+02 3.13+02 3.86+02 5.09+02 6.89+02 8.17+02 9.42+02 7.06+02 7.29+02 7.39+02
  14   9 2.58+06 9.26+01 9.97+01 1.19+02 1.70+02 2.43+02 3.68+02 4.94+02 7.34+02 1.16+03 1.49+03 1.87+03 6.55+03 8.10+03 9.23+03
  15   9 1.00-30 2.35+02 2.35+02 2.51+02 3.39+02 4.28+02 5.47+02 6.38+02 7.78+02 9.43+02 1.04+03 1.14+03 1.39+03 1.47+03 1.51+03
  11  10 1.00-30 1.20+01 1.20+01 1.22+01 1.30+01 1.33+01 1.34+01 1.33+01 1.29+01 1.22+01 1.17+01 1.11+01 8.10+00 6.76+00 6.14+00
  12  10 1.00-30 4.65+01 4.65+01 4.76+01 5.31+01 5.64+01 5.89+01 5.97+01 5.93+01 5.71+01 5.46+01 5.18+01 3.70+01 3.17+01 2.93+01
  13  10 5.05+04 1.05+02 1.05+02 1.09+02 1.32+02 1.51+02 1.72+02 1.83+02 1.95+02 2.02+02 2.01+02 1.97+02 1.75+02 1.83+02 1.92+02
  14  10 1.00-30 2.52+02 2.52+02 2.67+02 3.50+02 4.36+02 5.55+02 6.48+02 7.93+02 9.85+02 1.11+03 1.22+03 8.25+02 8.16+02 8.11+02
  15  10 4.25+06 3.64+02 3.91+02 4.68+02 6.70+02 9.40+02 1.38+03 1.79+03 2.57+03 3.86+03 4.87+03 6.03+03 1.66+04 1.97+04 2.21+04
R  1  +1         3.38-13 2.75-13 2.11-13 1.77-13 1.46-13 1.17-13 9.89-14 7.78-14 5.64-14 4.49-14 3.48-14 2.02-14 8.78-15 4.32-15
R  2  +1         4.97-14 4.05-14 3.11-14 2.61-14 2.16-14 1.73-14 1.47-14 1.15-14 8.31-15 6.59-15 5.07-15 2.89-15 1.23-15 5.95-16
R  3  +1         1.30-13 1.03-13 7.60-14 6.14-14 4.83-14 3.60-14 2.88-14 2.06-14 1.29-14 9.28-15 6.39-15 2.91-15 9.24-16 3.64-16
R  4  +1         1.67-14 1.36-14 1.04-14 8.74-15 7.20-15 5.73-15 4.84-15 3.77-15 2.69-15 2.12-15 1.62-15 9.09-16 3.81-16 1.83-16
R  5  +1         4.94-14 3.93-14 2.90-14 2.34-14 1.84-14 1.37-14 1.09-14 7.79-15 4.88-15 3.49-15 2.39-15 1.08-15 3.43-16 1.35-16
R  6  +1         5.14-14 3.92-14 2.70-14 2.07-14 1.52-14 1.04-14 7.81-15 5.07-15 2.81-15 1.86-15 1.18-15 4.68-16 1.29-16 4.71-17
R  7  +1         7.79-15 6.32-15 4.83-15 4.02-15 3.30-15 2.61-15 2.19-15 1.69-15 1.20-15 9.36-16 7.11-16 3.96-16 1.65-16 7.87-17
R  8  +1         2.36-14 1.87-14 1.38-14 1.11-14 8.71-15 6.46-15 5.15-15 3.65-15 2.28-15 1.62-15 1.11-15 5.01-16 1.58-16 6.18-17
R  9  +1         3.10-14 2.37-14 1.64-14 1.25-14 9.23-15 6.33-15 4.75-15 3.08-15 1.71-15 1.13-15 7.20-16 2.85-16 7.84-17 2.86-17
R 10  +1         2.05-14 1.48-14 9.47-15 6.85-15 4.73-15 3.01-15 2.15-15 1.30-15 6.68-16 4.23-16 2.58-16 9.60-17 2.51-17 8.99-18
R 11  +1         4.32-15 3.49-15 2.65-15 2.20-15 1.79-15 1.41-15 1.18-15 9.03-16 6.34-16 4.94-16 3.73-16 2.07-16 8.55-17 4.07-17
R 12  +1         1.32-14 1.04-14 7.63-15 6.13-15 4.79-15 3.54-15 2.81-15 1.99-15 1.23-15 8.77-16 5.99-16 2.69-16 8.44-17 3.31-17
R 13  +1         1.97-14 1.50-14 1.03-14 7.87-15 5.77-15 3.94-15 2.95-15 1.91-15 1.06-15 6.99-16 4.43-16 1.75-16 4.80-17 1.75-17
